datetime,bpm,period
2018-05-03 14:56:55.469,70,after lunch
2018-05-03 14:56:55.768,70,after lunch
2018-05-03 14:56:56.370,65,after lunch
2018-05-03 14:56:56.669,62,after lunch
2018-05-03 14:56:56.972,62,after lunch
2018-05-03 14:56:57.271,65,after lunch
2018-05-03 14:56:57.570,6,after lunch
2018-05-03 14:56:57.873,65,after lunch
2018-05-03 14:56:58.172,65,after lunch
2018-05-03 14:56:58.774,65,after lunch
2018-05-03 14:56:59.073,62,after lunch
2018-05-03 14:56:59.376,70,after lunch
2018-05-03 14:56:59.675,70,after lunch
2018-05-03 14:57:00.277,65,after lunch
2018-05-03 14:57:00.576,62,after lunch
2018-05-03 14:57:00.880,70,after lunch
2018-05-03 14:57:01.179,70,after lunch
2018-05-03 14:57:01.478,62,after lunch
2018-05-03 14:57:01.781,62,after lunch
2018-05-03 14:57:02.080,62,after lunch
2018-05-03 14:57:02.682,62,after lunch
2018-05-03 14:57:02.981,65,after lunch
2018-05-03 14:57:03.284,62,after lunch
2018-05-03 14:57:03.583,70,after lunch
2018-05-03 14:57:03.882,71,after lunch
2018-05-03 14:57:04.185,71,after lunch
2018-05-03 14:57:04.484,65,after lunch
2018-05-03 14:57:05.086,65,after lunch
2018-05-03 14:57:05.385,70,after lunch
2018-05-03 14:57:05.688,65,after lunch
2018-05-03 14:57:05.987,65,after lunch
2018-05-03 14:57:06.286,65,after lunch
2018-05-03 14:57:06.589,65,after lunch
2018-05-03 14:57:06.888,70,after lunch
2018-05-03 14:57:07.490,62,after lunch
2018-05-03 14:57:07.789,70,after lunch
2018-05-03 14:57:08.093,71,after lunch
2018-05-03 14:57:08.392,65,after lunch
2018-05-03 14:57:08.691,6,after lunch
2018-05-03 14:57:08.994,71,after lunch
2018-05-03 14:57:09.293,65,after lunch
2018-05-03 14:57:09.596,62,after lunch
2018-05-03 14:57:09.895,62,after lunch
2018-05-03 14:57:10.194,65,after lunch
2018-05-03 14:57:10.497,62,after lunch
2018-05-03 14:57:10.796,71,after lunch
2018-05-03 14:57:11.398,70,after lunch
2018-05-03 14:57:45.661,103,after lunch
2018-05-03 14:57:45.960,103,after lunch
2018-05-03 14:57:46.263,103,after lunch
2018-05-03 14:57:46.562,103,after lunch
2018-05-03 14:57:46.861,94,after lunch
2018-05-03 14:57:47.164,94,after lunch
2018-05-03 14:57:47.463,94,after lunch
2018-05-03 14:57:48.065,94,after lunch
2018-05-03 14:57:48.364,94,after lunch
2018-05-03 14:57:48.667,77,after lunch
2018-05-03 14:57:48.966,77,after lunch
2018-05-03 14:57:49.568,77,after lunch
2018-05-03 14:57:49.867,77,after lunch
2018-05-03 14:57:50.170,77,after lunch
2018-05-03 14:57:50.469,77,after lunch
2018-05-03 14:57:50.768,77,after lunch
2018-05-03 14:57:51.071,77,after lunch
2018-05-03 14:57:51.370,77,after lunch
2018-05-03 14:57:51.972,77,after lunch
2018-05-03 14:57:52.271,77,after lunch
2018-05-03 14:57:52.575,77,after lunch
2018-05-03 14:57:52.874,77,after lunch
2018-05-03 14:57:53.173,7,after lunch
2018-05-03 14:57:56.179,64,after lunch
2018-05-03 14:57:56.478,70,after lunch
2018-05-03 14:57:57.080,77,after lunch
2018-05-03 14:57:57.379,77,after lunch
2018-05-03 14:57:57.682,77,after lunch
2018-05-03 14:57:57.981,77,after lunch
2018-05-03 14:57:58.280,7,after lunch
2018-05-03 14:57:58.584,77,after lunch
2018-05-03 14:57:58.882,77,after lunch
2018-05-03 14:57:59.185,77,after lunch
2018-05-03 14:57:59.484,77,after lunch
2018-05-03 14:57:59.783,77,after lunch
2018-05-03 14:58:00.087,77,after lunch
2018-05-03 14:58:00.386,77,after lunch
2018-05-03 14:58:00.988,77,after lunch
2018-05-03 14:58:01.287,77,after lunch
2018-05-03 14:58:01.590,77,after lunch
2018-05-03 14:58:01.889,77,after lunch
2018-05-03 14:58:02.188,77,after lunch
2018-05-03 14:58:02.491,77,after lunch
2018-05-03 14:58:02.790,77,after lunch
2018-05-03 15:07:00.215,102,after lunch
2018-05-03 15:07:00.514,102,after lunch
2018-05-03 15:07:00.813,1,after lunch
2018-05-03 15:07:01.116,91,after lunch
2018-05-03 15:07:01.415,91,after lunch
2018-05-03 15:07:01.718,86,after lunch
2018-05-03 15:07:02.017,86,after lunch
2018-05-03 15:07:02.619,86,after lunch
2018-05-03 15:07:02.918,86,after lunch
2018-05-03 15:07:03.221,86,after lunch
2018-05-03 15:07:03.520,86,after lunch
2018-05-03 15:07:03.823,86,after lunch
2018-05-03 15:07:04.123,86,after lunch
2018-05-03 15:07:04.421,86,after lunch
2018-05-03 15:07:04.725,86,after lunch
2018-05-03 15:07:05.024,86,after lunch
2018-05-03 15:07:05.327,86,after lunch
2018-05-03 15:07:05.626,86,after lunch
2018-05-03 15:07:06.228,86,after lunch
2018-05-03 15:07:06.527,86,after lunch
2018-05-03 15:07:06.830,86,after lunch
2018-05-03 15:07:07.129,86,after lunch
2018-05-03 15:07:07.731,86,after lunch
2018-05-03 15:07:08.030,86,after lunch
2018-05-03 15:07:08.333,86,after lunch
2018-05-03 15:07:08.632,86,after lunch
2018-05-03 15:07:08.935,86,after lunch
2018-05-03 15:07:11.639,65,after lunch
2018-05-03 15:07:11.938,65,after lunch
2018-05-03 15:07:12.241,65,after lunch
2018-05-03 15:07:12.540,65,after lunch
2018-05-03 15:07:12.843,65,after lunch
2018-05-03 15:07:13.142,68,after lunch
2018-05-03 15:07:13.441,68,after lunch
2018-05-03 15:07:13.744,71,after lunch
2018-05-03 15:07:14.043,71,after lunch
2018-05-03 15:07:14.346,76,after lunch
2018-05-03 15:07:14.645,84,after lunch
2018-05-03 15:07:14.944,9,after lunch
2018-05-03 15:07:15.247,102,after lunch
2018-05-03 15:07:15.546,102,after lunch
2018-05-03 15:07:15.849,109,after lunch
2018-05-03 15:07:16.148,109,after lunch
2018-05-03 15:07:16.750,109,after lunch
2018-05-03 15:07:17.049,104,after lunch
2018-05-03 15:07:17.352,104,after lunch
2018-05-03 15:07:17.651,101,after lunch
2018-05-03 15:07:17.955,101,after lunch
2018-05-03 15:07:18.254,101,after lunch
2018-05-03 15:07:18.856,97,after lunch
2018-05-03 15:07:19.155,97,after lunch
2018-05-03 15:07:19.458,97,after lunch
2018-05-03 15:07:19.757,93,after lunch
2018-05-03 15:07:20.359,95,after lunch
2018-05-03 15:07:20.658,94,after lunch
2018-05-03 15:07:20.961,94,after lunch
2018-05-03 15:07:21.260,94,after lunch
2018-05-03 15:07:21.563,89,after lunch
2018-05-03 15:07:21.862,89,after lunch
2018-05-03 15:07:22.161,89,after lunch
2018-05-03 15:07:22.464,93,after lunch
2018-05-03 15:07:22.763,93,after lunch
2018-05-03 15:07:23.066,100,after lunch
2018-05-03 15:07:23.365,100,after lunch
2018-05-03 15:07:26.372,106,after lunch
2018-05-03 15:07:26.671,103,after lunch
2018-05-03 15:07:26.974,103,after lunch
2018-05-03 15:07:27.273,104,after lunch
2018-05-03 15:07:27.875,105,after lunch
2018-05-03 15:07:28.174,105,after lunch
2018-05-03 15:07:28.477,101,after lunch
2018-05-03 15:07:28.776,102,after lunch
2018-05-03 15:07:29.378,102,after lunch
